needle_scale,extent,number_of_drops,number_of_hits,drops_per_hits,pi
1.0,1.0,100,60,1.6666666666666667,3.3333333333333335
1.0,1.0,100,63,1.5873015873015872,3.1746031746031744
1.0,1.0,100,66,1.5151515151515151,3.0303030303030303
1.0,1.0,100,63,1.5873015873015872,3.1746031746031744
1.0,1.0,100,63,1.5873015873015872,3.1746031746031744
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,66,1.5151515151515151,3.0303030303030303
1.0,1.0,100,71,1.408450704225352,2.816901408450704
1.0,1.0,100,63,1.5873015873015872,3.1746031746031744
1.0,1.0,100,66,1.5151515151515151,3.0303030303030303
1.0,1.0,100,67,1.492537313432836,2.985074626865672
1.0,1.0,100,60,1.6666666666666667,3.3333333333333335
1.0,1.0,100,61,1.639344262295082,3.278688524590164
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,66,1.5151515151515151,3.0303030303030303
1.0,1.0,100,65,1.5384615384615385,3.076923076923077
1.0,1.0,100,69,1.4492753623188406,2.898550724637681
1.0,1.0,100,58,1.7241379310344827,3.4482758620689653
1.0,1.0,100,57,1.7543859649122806,3.508771929824561
1.0,1.0,100,68,1.4705882352941178,2.9411764705882355
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,60,1.6666666666666667,3.3333333333333335
1.0,1.0,100,59,1.694915254237288,3.389830508474576
1.0,1.0,100,65,1.5384615384615385,3.076923076923077
1.0,1.0,100,56,1.7857142857142858,3.5714285714285716
1.0,1.0,100,65,1.5384615384615385,3.076923076923077
1.0,1.0,100,66,1.5151515151515151,3.0303030303030303
1.0,1.0,100,70,1.4285714285714286,2.857142857142857
1.0,1.0,100,60,1.6666666666666667,3.3333333333333335
1.0,1.0,100,67,1.492537313432836,2.985074626865672
1.0,1.0,100,76,1.3157894736842106,2.6315789473684212
1.0,1.0,100,67,1.492537313432836,2.985074626865672
1.0,1.0,100,66,1.5151515151515151,3.0303030303030303
1.0,1.0,100,65,1.5384615384615385,3.076923076923077
1.0,1.0,100,58,1.7241379310344827,3.4482758620689653
1.0,1.0,100,56,1.7857142857142858,3.5714285714285716
1.0,1.0,100,72,1.3888888888888888,2.7777777777777777
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,58,1.7241379310344827,3.4482758620689653
1.0,1.0,100,59,1.694915254237288,3.389830508474576
1.0,1.0,100,63,1.5873015873015872,3.1746031746031744
1.0,1.0,100,66,1.5151515151515151,3.0303030303030303
1.0,1.0,100,48,2.0833333333333335,4.166666666666667
1.0,1.0,100,59,1.694915254237288,3.389830508474576
1.0,1.0,100,62,1.6129032258064515,3.225806451612903
1.0,1.0,100,61,1.639344262295082,3.278688524590164
1.0,1.0,100,59,1.694915254237288,3.389830508474576
1.0,1.0,100,60,1.6666666666666667,3.3333333333333335
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,70,1.4285714285714286,2.857142857142857
1.0,1.0,100,67,1.492537313432836,2.985074626865672
1.0,1.0,100,66,1.5151515151515151,3.0303030303030303
1.0,1.0,100,59,1.694915254237288,3.389830508474576
1.0,1.0,100,69,1.4492753623188406,2.898550724637681
1.0,1.0,100,59,1.694915254237288,3.389830508474576
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,60,1.6666666666666667,3.3333333333333335
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,74,1.3513513513513513,2.7027027027027026
1.0,1.0,100,66,1.5151515151515151,3.0303030303030303
1.0,1.0,100,57,1.7543859649122806,3.508771929824561
1.0,1.0,100,65,1.5384615384615385,3.076923076923077
1.0,1.0,100,60,1.6666666666666667,3.3333333333333335
1.0,1.0,100,58,1.7241379310344827,3.4482758620689653
1.0,1.0,100,68,1.4705882352941178,2.9411764705882355
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,65,1.5384615384615385,3.076923076923077
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,61,1.639344262295082,3.278688524590164
1.0,1.0,100,66,1.5151515151515151,3.0303030303030303
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,57,1.7543859649122806,3.508771929824561
1.0,1.0,100,67,1.492537313432836,2.985074626865672
1.0,1.0,100,65,1.5384615384615385,3.076923076923077
1.0,1.0,100,66,1.5151515151515151,3.0303030303030303
1.0,1.0,100,70,1.4285714285714286,2.857142857142857
1.0,1.0,100,63,1.5873015873015872,3.1746031746031744
1.0,1.0,100,53,1.8867924528301887,3.7735849056603774
1.0,1.0,100,69,1.4492753623188406,2.898550724637681
1.0,1.0,100,60,1.6666666666666667,3.3333333333333335
1.0,1.0,100,65,1.5384615384615385,3.076923076923077
1.0,1.0,100,56,1.7857142857142858,3.5714285714285716
1.0,1.0,100,70,1.4285714285714286,2.857142857142857
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,62,1.6129032258064515,3.225806451612903
1.0,1.0,100,67,1.492537313432836,2.985074626865672
1.0,1.0,100,55,1.8181818181818181,3.6363636363636362
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,64,1.5625,3.125
1.0,1.0,100,61,1.639344262295082,3.278688524590164
1.0,1.0,100,67,1.492537313432836,2.985074626865672
1.0,1.0,100,58,1.7241379310344827,3.4482758620689653
1.0,1.0,100,70,1.4285714285714286,2.857142857142857
1.0,1.0,100,63,1.5873015873015872,3.1746031746031744
1.0,1.0,100,63,1.5873015873015872,3.1746031746031744
1.0,1.0,100,69,1.4492753623188406,2.898550724637681
1.0,1.0,100,60,1.6666666666666667,3.3333333333333335
1.0,1.0,100,70,1.4285714285714286,2.857142857142857
